order_id,customer_id,product_id,order_date,quantity,discount
O00001,C0073,P0082,2025-09-24,2,0.0
O00004,C0138,P0045,2026-03-10,4,0.1
O00007,C0270,P0052,2026-05-09,4,0.05
O00009,C0234,P0039,2026-06-08,2,0.15
O00010,C0116,P0017,2025-09-20,3,0.05
O00011,C0253,P0088,2025-10-30,1,0.0
O00014,C0279,P0091,2026-05-30,3,0.2
O00017,C0241,P0057,2025-09-18,1,0.15
O00018,C0137,P0014,2025-12-25,1,0.05
O00020,C0105,P0011,2025-10-21,1,0.15
O00023,C0057,P0020,2025-05-16,3,0.05
O00024,C0258,P0091,2025-10-18,1,0.1
O00025,C0106,P0037,2025-11-09,1,0.0
O00027,C0237,P0020,2025-09-02,3,0.15
O00030,C0163,P0061,2026-05-19,3,0.2
O00032,C0466,P0062,2026-04-28,1,0.05
O00033,C0058,P0039,2026-01-29,3,0.15
O00036,C0170,P0034,2025-12-30,2,0.2
O00037,C0233,P0023,2026-01-11,1,0.15
O00040,C0136,P0010,2025-10-27,1,0.0
O00043,C0156,P0051,2025-11-26,2,0.15
O00045,C0344,P0065,2026-01-07,4,0.0
O00046,C0165,P0027,2025-12-08,2,0.1
O00047,C0102,P0005,2026-04-19,2,0.05
O00048,C0070,P0056,2026-06-21,2,0.15
O00049,C0103,P0076,2025-11-12,1,0.15
O00052,C0012,P0026,2026-04-18,4,0.0
O00059,C0174,P0043,2026-06-15,3,0.2
O00060,C0221,P0037,2026-03-23,3,0.05
O00062,C0102,P0034,2025-05-18,3,0.0
O00063,C0116,P0085,2025-11-15,3,0.1
O00065,C0412,P0022,2026-03-15,4,0.1
O00069,C0450,P0078,2026-04-06,1,0.05
O00071,C0093,P0051,2025-06-28,4,0.05
O00072,C0079,P0068,2025-12-20,1,0.15
O00073,C0029,P0039,2026-02-21,4,0.05
O00077,C0361,P0093,2026-05-28,2,0.05
O00078,C0073,P0055,2026-05-06,3,0.15
O00080,C0328,P0069,2026-06-06,2,0.2
O00081,C0116,P0001,2025-07-01,2,0.05
O00082,C0061,P0036,2026-05-14,3,0.1
O00083,C0092,P0060,2026-04-18,3,0.2
O00085,C0381,P0060,2026-03-05,4,0.0
O00087,C0126,P0099,2025-08-18,1,0.2
O00088,C0063,P0082,2025-05-22,4,0.05
O00090,C0364,P0040,2026-06-04,2,0.15
O00091,C0050,P0070,2025-10-26,1,0.1
O00092,C0440,P0053,2026-06-15,3,0.0
O00093,C0298,P0088,2026-03-22,3,0.05
O00095,C0049,P0014,2025-05-12,4,0.1
O00101,C0194,P0016,2026-02-08,1,0.15
O00102,C0123,P0075,2026-01-18,3,0.15
O00103,C0246,P0041,2026-01-30,1,0.0
O00108,C0163,P0036,2025-10-04,3,0.15
O00110,C0095,P0034,2025-05-13,4,0.0
O00111,C0134,P0079,2026-01-28,1,0.0
O00114,C0060,P0082,2025-07-26,2,0.2
O00116,C0222,P0021,2026-04-26,1,0.1
O00120,C0247,P0063,2026-01-07,3,0.15
O00122,C0023,P0064,2025-04-14,3,0.15
O00126,C0120,P0003,2026-02-10,1,0.2
O00127,C0298,P0045,2026-06-05,3,0.1
O00128,C0031,P0002,2025-06-13,1,0.15
O00130,C0262,P0036,2026-04-20,1,0.05
O00132,C0264,P0050,2026-01-22,3,0.2
O00133,C0038,P0075,2025-05-08,3,0.2
O00136,C0201,P0027,2025-07-26,2,0.2
O00137,C0095,P0051,2026-04-15,4,0.0
O00138,C0170,P0059,2025-12-08,1,0.05
O00139,C0181,P0019,2026-03-13,1,0.0
O00141,C0124,P0027,2025-06-23,4,0.15
O00142,C0179,P0061,2026-03-25,1,0.2
O00143,C0057,P0052,2025-07-15,4,0.05
O00144,C0139,P0021,2026-05-22,3,0.0
O00147,C0226,P0066,2026-06-22,2,0.2
O00150,C0017,P0050,2025-09-03,1,0.2
O00151,C0117,P0057,2025-11-11,1,0.0
O00153,C0247,P0014,2025-10-13,2,0.2
O00154,C0257,P0098,2026-05-07,1,0.0
O00155,C0096,P0087,2025-11-22,2,0.15
O00157,C0355,P0067,2025-12-29,2,0.05
O00158,C0284,P0060,2025-12-11,3,0.1
O00160,C0422,P0048,2026-05-22,1,0.1
O00161,C0408,P0065,2026-02-20,4,0.1
O00162,C0354,P0006,2026-03-03,1,0.1
O00163,C0129,P0095,2026-03-03,1,0.2
O00164,C0233,P0048,2026-06-29,1,0.0
O00167,C0069,P0005,2025-11-02,4,0.0
O00168,C0323,P0078,2026-02-04,3,0.05
O00169,C0039,P0002,2025-06-14,1,0.2
O00170,C0051,P0072,2026-06-16,2,0.2
O00172,C0025,P0069,2025-12-05,2,0.2
O00173,C0106,P0052,2025-07-17,4,0.0
O00179,C0361,P0036,2026-02-26,1,0.05
O00181,C0201,P0063,2026-03-02,2,0.15
O00184,C0164,P0024,2026-03-25,3,0.2
O00189,C0081,P0069,2025-03-24,1,0.1
O00190,C0105,P0071,2025-09-02,2,0.1
O00191,C0076,P0005,2025-04-11,3,0.2
O00192,C0409,P0037,2026-03-30,2,0.05
O00196,C0216,P0060,2026-05-28,3,0.05
O00197,C0267,P0025,2026-04-03,2,0.1
O00200,C0331,P0069,2026-02-12,3,0.1
O00202,C0209,P0052,2026-02-28,1,0.2
O00208,C0177,P0003,2025-08-12,1,0.0
O00210,C0214,P0064,2025-10-02,4,0.0
O00211,C0455,P0025,2026-04-21,1,0.0
O00212,C0146,P0069,2025-05-30,1,0.0
O00214,C0137,P0084,2026-04-02,4,0.05
O00216,C0135,P0006,2025-06-05,4,0.1
O00217,C0299,P0064,2026-06-16,2,0.2
O00219,C0377,P0054,2026-02-16,1,0.1
O00221,C0385,P0051,2026-03-22,4,0.2
O00224,C0120,P0031,2026-06-29,3,0.0
O00226,C0112,P0070,2025-06-28,1,0.0
O00230,C0304,P0029,2026-05-26,3,0.2
O00234,C0241,P0053,2026-04-16,4,0.0
O00238,C0143,P0073,2026-05-01,4,0.1
O00239,C0423,P0040,2026-05-31,1,0.2
O00240,C0382,P0035,2026-04-10,3,0.0
O00241,C0313,P0086,2026-04-05,1,0.2
O00242,C0078,P0017,2025-12-02,3,0.15
O00243,C0032,P0074,2025-12-01,1,0.05
O00244,C0294,P0058,2026-06-06,2,0.0
O00245,C0005,P0100,2025-09-04,4,0.05
O00247,C0245,P0024,2026-02-05,2,0.05
O00251,C0264,P0033,2025-12-13,1,0.15
O00252,C0186,P0068,2025-12-11,3,0.0
O00254,C0110,P0065,2025-06-03,1,0.2
O00255,C0214,P0029,2025-11-09,3,0.0
O00256,C0445,P0026,2026-05-18,2,0.15
O00257,C0275,P0004,2026-01-02,2,0.1
O00260,C0008,P0071,2026-06-06,4,0.0
O00263,C0130,P0026,2026-03-31,1,0.0
O00265,C0225,P0041,2025-08-16,4,0.2
O00266,C0322,P0050,2026-01-25,1,0.1
O00267,C0105,P0034,2025-11-25,4,0.05
O00268,C0445,P0047,2026-04-03,4,0.05
O00269,C0060,P0077,2026-01-04,2,0.05
O00270,C0133,P0056,2025-11-17,3,0.1
O00272,C0130,P0096,2026-05-25,4,0.2
O00273,C0137,P0068,2026-02-21,4,0.2
O00274,C0096,P0049,2026-01-01,1,0.05
O00276,C0338,P0013,2026-03-25,2,0.05
O00277,C0231,P0077,2025-08-23,2,0.1
O00278,C0465,P0024,2026-05-27,2,0.2
O00279,C0243,P0049,2025-10-15,2,0.15
O00282,C0022,P0044,2026-04-06,3,0.05
O00284,C0328,P0035,2025-12-22,1,0.1
O00287,C0036,P0036,2025-06-09,2,0.1
O00288,C0316,P0064,2025-11-24,3,0.15
O00290,C0397,P0040,2026-05-28,4,0.1
O00291,C0311,P0040,2026-04-14,3,0.2
O00300,C0096,P0064,2025-12-03,2,0.1
O00301,C0175,P0100,2025-11-13,3,0.15
O00303,C0221,P0054,2025-12-16,1,0.15
O00304,C0149,P0015,2026-01-13,1,0.15
O00305,C0063,P0029,2026-06-23,4,0.05
O00307,C0083,P0010,2026-05-29,2,0.0
O00309,C0081,P0086,2025-12-21,3,0.1
O00313,C0201,P0065,2026-04-27,3,0.15
O00315,C0104,P0030,2025-06-16,3,0.0
O00321,C0043,P0015,2025-08-31,4,0.0
O00323,C0074,P0089,2025-09-02,1,0.2
O00324,C0143,P0087,2026-04-12,4,0.1
O00325,C0258,P0015,2026-03-24,1,0.0
O00326,C0343,P0068,2025-12-14,1,0.1
O00329,C0361,P0096,2025-12-31,4,0.2
O00330,C0101,P0006,2025-05-06,4,0.1
O00332,C0017,P0002,2026-01-19,2,0.05
O00335,C0099,P0078,2026-02-14,1,0.1
O00336,C0069,P0038,2025-05-19,3,0.2
O00337,C0028,P0017,2026-03-07,3,0.15
O00340,C0038,P0012,2025-05-24,3,0.05
O00341,C0149,P0051,2025-07-14,1,0.15
O00342,C0025,P0080,2025-02-15,1,0.2
O00343,C0105,P0007,2025-09-29,1,0.0
O00345,C0047,P0062,2025-10-24,3,0.15
O00346,C0054,P0001,2025-06-08,3,0.0
