order_id,customer_id,product_id,order_date,quantity,discount
O00001,C0073,P0082,2025-09-24,2,0.0
O00002,C0221,P0022,2025-05-11,2,0.1
O00003,C0408,P0020,2025-12-30,2,0.0
O00004,C0138,P0045,2026-03-10,4,0.1
O00005,C0460,P0021,2025-11-24,3,0.2
O00006,C0481,P0081,2025-12-30,4,0.1
O00007,C0270,P0052,2026-05-09,4,0.05
O00008,C0161,P0094,2025-01-24,2,0.2
O00009,C0234,P0039,2026-06-08,2,0.15
O00010,C0116,P0017,2025-09-20,3,0.05
O00011,C0253,P0088,2025-10-30,1,0.0
O00012,C0395,P0051,2025-04-01,2,0.15
O00013,C0173,P0081,2025-02-25,3,0.2
O00014,C0279,P0091,2026-05-30,3,0.2
O00015,C0466,P0014,2025-04-16,3,0.1
O00016,C0496,P0088,2025-08-22,1,0.15
O00017,C0241,P0057,2025-09-18,1,0.15
O00018,C0137,P0014,2025-12-25,1,0.05
O00019,C0479,P0082,2025-05-29,1,0.15
O00020,C0105,P0011,2025-10-21,1,0.15
O00021,C0393,P0064,2025-06-13,2,0.15
O00022,C0387,P0053,2025-09-09,2,0.15
O00023,C0057,P0020,2025-05-16,3,0.05
O00024,C0258,P0091,2025-10-18,1,0.1
O00025,C0106,P0037,2025-11-09,1,0.0
O00026,C0061,P0030,2025-02-06,4,0.05
O00027,C0237,P0020,2025-09-02,3,0.15
O00028,C0317,P0027,2025-02-02,4,0.2
O00029,C0436,P0050,2025-09-09,3,0.2
O00030,C0163,P0061,2026-05-19,3,0.2
O00031,C0287,P0100,2025-04-16,4,0.1
O00032,C0466,P0062,2026-04-28,1,0.05
O00033,C0058,P0039,2026-01-29,3,0.15
O00034,C0387,P0017,2025-01-08,2,0.2
O00035,C0129,P0075,2025-02-19,1,0.2
O00036,C0170,P0034,2025-12-30,2,0.2
O00037,C0233,P0023,2026-01-11,1,0.15
O00038,C0310,P0094,2025-06-09,4,0.2
O00039,C0459,P0042,2025-10-04,3,0.1
O00040,C0136,P0010,2025-10-27,1,0.0
O00041,C0332,P0066,2025-08-08,4,0.15
O00042,C0500,P0056,2025-12-25,2,0.15
O00043,C0156,P0051,2025-11-26,2,0.15
O00044,C0494,P0012,2025-01-27,1,0.05
O00045,C0344,P0065,2026-01-07,4,0.0
O00046,C0165,P0027,2025-12-08,2,0.1
O00047,C0102,P0005,2026-04-19,2,0.05
O00048,C0070,P0056,2026-06-21,2,0.15
O00049,C0103,P0076,2025-11-12,1,0.15
O00050,C0278,P0043,2025-02-22,3,0.05
O00051,C0257,P0085,2025-08-30,4,0.0
O00052,C0012,P0026,2026-04-18,4,0.0
O00053,C0481,P0017,2026-01-16,3,0.2
O00054,C0267,P0082,2025-06-08,4,0.2
O00055,C0165,P0094,2025-06-05,2,0.0
O00056,C0333,P0087,2025-10-11,4,0.1
O00057,C0362,P0045,2025-04-06,1,0.05
O00058,C0364,P0042,2025-11-23,2,0.15
O00059,C0174,P0043,2026-06-15,3,0.2
O00060,C0221,P0037,2026-03-23,3,0.05
O00061,C0283,P0087,2025-03-09,3,0.15
O00062,C0102,P0034,2025-05-18,3,0.0
O00063,C0116,P0085,2025-11-15,3,0.1
O00064,C0385,P0048,2025-12-07,1,0.2
O00065,C0412,P0022,2026-03-15,4,0.1
O00066,C0491,P0031,2025-07-01,1,0.0
O00067,C0360,P0006,2025-05-22,4,0.05
O00068,C0446,P0002,2025-06-20,3,0.0
O00069,C0450,P0078,2026-04-06,1,0.05
O00070,C0216,P0028,2025-04-22,3,0.1
O00071,C0093,P0051,2025-06-28,4,0.05
O00072,C0079,P0068,2025-12-20,1,0.15
O00073,C0029,P0039,2026-02-21,4,0.05
O00074,C0490,P0065,2026-04-02,3,0.0
O00075,C0382,P0036,2025-01-07,4,0.2
O00076,C0096,P0097,2025-01-04,2,0.2
O00077,C0361,P0093,2026-05-28,2,0.05
O00078,C0073,P0055,2026-05-06,3,0.15
O00079,C0223,P0063,2025-04-04,3,0.05
O00080,C0328,P0069,2026-06-06,2,0.2
O00081,C0116,P0001,2025-07-01,2,0.05
O00082,C0061,P0036,2026-05-14,3,0.1
O00083,C0092,P0060,2026-04-18,3,0.2
O00084,C0421,P0005,2026-02-03,4,0.05
O00085,C0381,P0060,2026-03-05,4,0.0
O00086,C0127,P0039,2025-01-03,4,0.15
O00087,C0126,P0099,2025-08-18,1,0.2
O00088,C0063,P0082,2025-05-22,4,0.05
O00089,C0485,P0080,2025-01-30,1,0.15
O00090,C0364,P0040,2026-06-04,2,0.15
O00091,C0050,P0070,2025-10-26,1,0.1
O00092,C0440,P0053,2026-06-15,3,0.0
O00093,C0298,P0088,2026-03-22,3,0.05
O00094,C0220,P0091,2025-05-30,1,0.05
O00095,C0049,P0014,2025-05-12,4,0.1
O00096,C0437,P0095,2025-02-25,1,0.2
O00097,C0288,P0085,2025-05-08,3,0.2
O00098,C0438,P0065,2025-12-01,3,0.1
O00099,C0453,P0077,2025-05-31,2,0.05
O00100,C0348,P0097,2025-10-04,1,0.15
O00101,C0194,P0016,2026-02-08,1,0.15
O00102,C0123,P0075,2026-01-18,3,0.15
O00103,C0246,P0041,2026-01-30,1,0.0
O00104,C0475,P0100,2025-08-28,1,0.1
O00105,C0457,P0031,2025-11-20,2,0.15
O00106,C0284,P0097,2025-06-06,4,0.15
O00107,C0366,P0020,2025-05-20,2,0.05
O00108,C0163,P0036,2025-10-04,3,0.15
O00109,C0367,P0018,2025-09-02,1,0.15
O00110,C0095,P0034,2025-05-13,4,0.0
O00111,C0134,P0079,2026-01-28,1,0.0
O00112,C0465,P0025,2025-09-13,1,0.2
O00113,C0197,P0008,2025-03-09,2,0.1
O00114,C0060,P0082,2025-07-26,2,0.2
O00115,C0467,P0045,2026-02-11,3,0.05
O00116,C0222,P0021,2026-04-26,1,0.1
O00117,C0255,P0050,2025-07-16,3,0.05
O00118,C0090,P0022,2025-03-14,4,0.1
O00119,C0295,P0022,2025-02-27,2,0.1
O00120,C0247,P0063,2026-01-07,3,0.15
O00121,C0289,P0012,2025-04-08,1,0.1
O00122,C0023,P0064,2025-04-14,3,0.15
O00123,C0341,P0004,2025-07-01,2,0.0
O00124,C0253,P0089,2025-05-12,3,0.15
O00125,C0209,P0041,2025-01-13,1,0.15
O00126,C0120,P0003,2026-02-10,1,0.2
O00127,C0298,P0045,2026-06-05,3,0.1
O00128,C0031,P0002,2025-06-13,1,0.15
O00129,C0173,P0013,2025-03-24,4,0.0
O00130,C0262,P0036,2026-04-20,1,0.05
O00131,C0341,P0018,2025-08-17,3,0.15
O00132,C0264,P0050,2026-01-22,3,0.2
O00133,C0038,P0075,2025-05-08,3,0.2
O00134,C0498,P0017,2026-03-02,2,0.15
O00135,C0493,P0081,2025-11-27,1,0.2
O00136,C0201,P0027,2025-07-26,2,0.2
O00137,C0095,P0051,2026-04-15,4,0.0
O00138,C0170,P0059,2025-12-08,1,0.05
O00139,C0181,P0019,2026-03-13,1,0.0
O00140,C0459,P0083,2025-01-12,3,0.0
O00141,C0124,P0027,2025-06-23,4,0.15
O00142,C0179,P0061,2026-03-25,1,0.2
O00143,C0057,P0052,2025-07-15,4,0.05
O00144,C0139,P0021,2026-05-22,3,0.0
O00145,C0399,P0062,2025-04-25,2,0.0
O00146,C0048,P0068,2025-01-18,4,0.15
O00147,C0226,P0066,2026-06-22,2,0.2
O00148,C0433,P0001,2025-09-17,3,0.2
O00149,C0422,P0072,2025-11-14,2,0.0
O00150,C0017,P0050,2025-09-03,1,0.2
O00151,C0117,P0057,2025-11-11,1,0.0
O00152,C0424,P0005,2025-06-01,3,0.1
O00153,C0247,P0014,2025-10-13,2,0.2
O00154,C0257,P0098,2026-05-07,1,0.0
O00155,C0096,P0087,2025-11-22,2,0.15
O00156,C0373,P0084,2025-03-02,4,0.0
O00157,C0355,P0067,2025-12-29,2,0.05
O00158,C0284,P0060,2025-12-11,3,0.1
O00159,C0304,P0062,2025-09-28,3,0.0
O00160,C0422,P0048,2026-05-22,1,0.1
O00161,C0408,P0065,2026-02-20,4,0.1
O00162,C0354,P0006,2026-03-03,1,0.1
O00163,C0129,P0095,2026-03-03,1,0.2
O00164,C0233,P0048,2026-06-29,1,0.0
O00165,C0090,P0013,2025-03-10,2,0.15
O00166,C0324,P0084,2025-02-04,1,0.2
O00167,C0069,P0005,2025-11-02,4,0.0
O00168,C0323,P0078,2026-02-04,3,0.05
O00169,C0039,P0002,2025-06-14,1,0.2
O00170,C0051,P0072,2026-06-16,2,0.2
O00171,C0181,P0093,2025-06-08,1,0.15
O00172,C0025,P0069,2025-12-05,2,0.2
O00173,C0106,P0052,2025-07-17,4,0.0
O00174,C0497,P0031,2025-02-18,3,0.15
O00175,C0076,P0087,2025-03-10,1,0.15
O00176,C0460,P0001,2025-05-24,2,0.05
O00177,C0297,P0100,2025-06-20,2,0.15
O00178,C0145,P0034,2025-03-09,4,0.15
O00179,C0361,P0036,2026-02-26,1,0.05
O00180,C0291,P0070,2025-07-22,1,0.15
O00181,C0201,P0063,2026-03-02,2,0.15
O00182,C0105,P0032,2025-02-11,4,0.15
O00183,C0208,P0023,2025-01-06,1,0.05
O00184,C0164,P0024,2026-03-25,3,0.2
O00185,C0441,P0084,2025-02-17,2,0.0
O00186,C0451,P0034,2026-03-25,3,0.05
O00187,C0451,P0067,2025-09-05,3,0.0
O00188,C0477,P0024,2026-02-20,4,0.2
O00189,C0081,P0069,2025-03-24,1,0.1
O00190,C0105,P0071,2025-09-02,2,0.1
O00191,C0076,P0005,2025-04-11,3,0.2
O00192,C0409,P0037,2026-03-30,2,0.05
O00193,C0372,P0065,2025-04-12,3,0.15
O00194,C0493,P0030,2025-07-08,1,0.0
O00195,C0293,P0071,2025-09-27,3,0.1
O00196,C0216,P0060,2026-05-28,3,0.05
O00197,C0267,P0025,2026-04-03,2,0.1
O00198,C0344,P0003,2025-10-21,1,0.0
O00199,C0322,P0052,2025-05-28,3,0.15
O00200,C0331,P0069,2026-02-12,3,0.1
O00201,C0094,P0009,2025-02-07,2,0.05
O00202,C0209,P0052,2026-02-28,1,0.2
O00203,C0428,P0080,2025-07-31,3,0.15
O00204,C0278,P0095,2025-04-23,1,0.2
O00205,C0441,P0069,2025-01-22,1,0.0
O00206,C0354,P0070,2025-03-11,2,0.2
O00207,C0171,P0047,2025-05-19,1,0.0
O00208,C0177,P0003,2025-08-12,1,0.0
O00209,C0447,P0099,2025-08-05,1,0.0
O00210,C0214,P0064,2025-10-02,4,0.0
O00211,C0455,P0025,2026-04-21,1,0.0
O00212,C0146,P0069,2025-05-30,1,0.0
O00213,C0273,P0015,2025-02-11,3,0.1
O00214,C0137,P0084,2026-04-02,4,0.05
O00215,C0285,P0085,2025-09-22,1,0.1
O00216,C0135,P0006,2025-06-05,4,0.1
O00217,C0299,P0064,2026-06-16,2,0.2
O00218,C0393,P0081,2025-11-19,4,0.2
O00219,C0377,P0054,2026-02-16,1,0.1
O00220,C0443,P0085,2025-04-18,2,0.0
O00221,C0385,P0051,2026-03-22,4,0.2
O00222,C0358,P0032,2025-11-22,1,0.05
O00223,C0353,P0056,2025-02-28,2,0.1
