product_id,product_name,category,price,cost
P0001,Product 1,Home,7642,3186
P0002,Product 2,Beauty,2185,6117
P0003,Product 3,Clothing,4416,1143
P0004,Product 4,Home,4419,6404
P0005,Product 5,Clothing,3644,5995
P0006,Product 6,Electronics,7263,1798
P0007,Product 7,Electronics,7890,2581
P0008,Product 8,Clothing,3181,6517
P0009,Product 9,Electronics,2847,2104
P0010,Product 10,Home,5979,6967
P0011,Product 11,Beauty,7224,6460
P0012,Product 12,Home,9054,6522
P0013,Product 13,Electronics,5319,3914
P0014,Product 14,Electronics,6516,3100
P0015,Product 15,Beauty,1801,4131
P0016,Product 16,Electronics,2400,1793
P0017,Product 17,Sports,7768,2134
P0018,Product 18,Clothing,2452,6028
P0019,Product 19,Sports,3631,4802
P0020,Product 20,Clothing,3798,4674
P0021,Product 21,Beauty,5563,4801
P0022,Product 22,Home,7353,4765
P0023,Product 23,Sports,1472,1517
P0024,Product 24,Sports,1824,4723
P0025,Product 25,Electronics,6646,1393
P0026,Product 26,Clothing,4647,3347
P0027,Product 27,Electronics,9658,2758
P0028,Product 28,Home,8833,6889
P0029,Product 29,Beauty,6179,2684
P0030,Product 30,Clothing,1938,6071
P0031,Product 31,Clothing,3820,6954
P0032,Product 32,Electronics,8130,1118
P0033,Product 33,Clothing,8078,1253
P0034,Product 34,Beauty,2877,208
P0035,Product 35,Sports,7400,2274
P0036,Product 36,Home,8656,359
P0037,Product 37,Beauty,5344,5838
P0038,Product 38,Sports,9325,2019
P0039,Product 39,Sports,7341,3794
P0040,Product 40,Clothing,4355,2410
P0041,Product 41,Home,9480,3396
P0042,Product 42,Electronics,8937,517
P0043,Product 43,Home,7414,2191
P0044,Product 44,Beauty,3560,4961
P0045,Product 45,Home,770,2618
P0046,Product 46,Home,6883,1769
P0047,Product 47,Beauty,5525,4624
P0048,Product 48,Electronics,6783,4462
P0049,Product 49,Beauty,1009,338
P0050,Product 50,Clothing,1490,6122
P0051,Product 51,Clothing,5742,5445
P0052,Product 52,Electronics,8044,5873
P0053,Product 53,Beauty,8760,4181
P0054,Product 54,Beauty,8529,6311
P0055,Product 55,Beauty,1478,6657
P0056,Product 56,Beauty,8094,1939
P0057,Product 57,Beauty,8475,6027
P0058,Product 58,Electronics,2237,4435
P0059,Product 59,Home,8703,6849
P0060,Product 60,Electronics,890,2012
P0061,Product 61,Beauty,8540,2985
P0062,Product 62,Clothing,6743,2315
P0063,Product 63,Beauty,7553,6759
P0064,Product 64,Beauty,3726,321
P0065,Product 65,Clothing,7546,5752
P0066,Product 66,Electronics,3055,2846
P0067,Product 67,Sports,5985,6008
P0068,Product 68,Home,8910,1687
P0069,Product 69,Clothing,9244,2550
P0070,Product 70,Electronics,7142,4220
P0071,Product 71,Sports,7360,6134
P0072,Product 72,Clothing,9767,5095
P0073,Product 73,Electronics,1079,4687
P0074,Product 74,Beauty,6810,3769
P0075,Product 75,Sports,6399,1764
P0076,Product 76,Sports,9427,3122
P0077,Product 77,Sports,1354,200
P0078,Product 78,Beauty,505,1023
P0079,Product 79,Sports,6354,4573
P0080,Product 80,Sports,6297,3056
P0081,Product 81,Beauty,3777,2219
P0082,Product 82,Electronics,8665,1089
P0083,Product 83,Clothing,3101,6156
P0084,Product 84,Beauty,6533,6057
P0085,Product 85,Clothing,3360,1860
P0086,Product 86,Clothing,2199,1871
P0087,Product 87,Clothing,8264,5305
P0088,Product 88,Beauty,8883,6479
P0089,Product 89,Home,1481,1134
P0090,Product 90,Home,7922,1514
P0091,Product 91,Home,4147,2244
P0092,Product 92,Home,2837,732
P0093,Product 93,Beauty,4797,6350
P0094,Product 94,Clothing,4875,3121
P0095,Product 95,Sports,773,3913
P0096,Product 96,Electronics,9378,5950
P0097,Product 97,Beauty,6861,6986
P0098,Product 98,Home,3453,4070
P0099,Product 99,Clothing,2131,3093
P0100,Product 100,Clothing,8559,2816
