customer_id,name,total_orders,orders_with_valid_products,total_revenue,average_order_value
C0022,Customer 22,19,15,242721.65,16181.44
C0015,Customer 15,15,13,224973.45,17305.65
C0084,Customer 84,11,9,202583.25,22509.25
C0038,Customer 38,11,9,185514.85,20612.76
C0063,Customer 63,9,9,173420.0,19268.89
C0035,Customer 35,12,8,172349.15,21543.64
C0137,Customer 137,11,9,169705.9,18856.21
C0009,Customer 9,10,9,167556.0,18617.33
C0002,Customer 2,12,9,165282.0,18364.67
C0003,Customer 3,15,13,165226.85,12709.76
C0150,Customer 150,13,10,164443.2,16444.32
C0113,Customer 113,11,9,163922.1,18213.57
C0116,Customer 116,12,9,162565.55,18062.84
C0068,Customer 68,11,8,158565.8,19820.72
C0130,Customer 130,10,8,157014.9,19626.86
C0262,Customer 262,9,8,154868.15,19358.52
C0025,Customer 25,17,12,153362.0,12780.17
C0029,Customer 29,12,8,152392.85,19049.11
C0105,Customer 105,13,10,149216.9,14921.69
C0098,Customer 98,13,10,143479.5,14347.95
C0059,Customer 59,13,9,142394.7,15821.63
C0294,Customer 294,8,6,141338.3,23556.38
C0080,Customer 80,10,8,139659.0,17457.38
C0118,Customer 118,9,8,139245.2,17405.65
C0070,Customer 70,11,10,136809.0,13680.9
C0091,Customer 91,12,9,136596.55,15177.39
C0133,Customer 133,10,7,136564.6,19509.23
C0017,Customer 17,12,7,135364.1,19337.73
C0241,Customer 241,9,8,135209.2,16901.15
C0046,Customer 46,10,6,135077.0,22512.83
C0162,Customer 162,9,7,132011.05,18858.72
C0058,Customer 58,7,5,129004.75,25800.95
C0172,Customer 172,10,7,128318.4,18331.2
C0034,Customer 34,11,8,127046.8,15880.85
C0028,Customer 28,12,11,125466.75,11406.07
C0008,Customer 8,9,8,124160.0,15520.0
C0079,Customer 79,8,8,123578.5,15447.31
C0139,Customer 139,14,13,122804.1,9446.47
C0122,Customer 122,9,7,122713.8,17530.54
C0210,Customer 210,10,9,122325.8,13591.76
C0007,Customer 7,9,5,121516.0,24303.2
C0031,Customer 31,8,5,120533.5,24106.7
C0194,Customer 194,12,9,120318.05,13368.67
C0166,Customer 166,7,6,120184.9,20030.82
C0047,Customer 47,11,7,120177.25,17168.18
C0049,Customer 49,11,8,119396.5,14924.56
